,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA
,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio
,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9796.504899102714,9845.976385512016,9248.205987074798,9294.880424161938,9362.641038075317,9409.660410199485,4994.246360569088,5019.288149116268,17.597259495710112,17.68178156081897,27151.653045527786,27289.083323069186,7243.638351368914,7556.165760437808,9355.3968349941,9454.347536288813,11495.173672450002,12476.557397278573,5649.153186224159,6136.3183253942825,13.170741600917964,13.860222529597058,23937.139098680556,24860.649662101674
2025-01-03,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,10191.381492641991,10242.797348211638,9077.488193313122,9123.322017361294,9195.72672919786,9241.924216611942,4880.180071279434,4904.660198338548,17.187286106589077,17.26978946603796,27128.16279787015,27265.477409621628,8386.773117147259,8748.621175485972,9161.910100287549,9258.814319917388,11269.297390195585,12231.397256115566,5488.643713089795,5961.967021946605,12.769507753201061,13.437984315207133,23702.764986806797,24617.233242907245
2025-01-06,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9927.708785042745,9977.826318327736,8963.814830546742,9009.088927873878,9063.809009412786,9109.356935039084,4926.6179116022195,4951.326698212378,16.95185731547912,17.03320142546024,26753.04301381006,26888.510538771647,8138.672420129003,8489.816152234664,9128.923438543217,9225.47876294493,11046.916605096681,11990.031035091173,5686.2953500481935,6176.663512186881,12.683516008981607,13.347490951454041,23061.624302697288,23951.356929699654
2025-01-07,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9704.464321959882,9753.482601310005,8846.142992904373,8890.837675052446,12537.949400078547,12600.603964955788,4838.249854618453,4862.523517629062,16.60298302071754,16.682609276486307,28859.034747442238,29004.87215870707,7975.270772620881,8319.364526379177,9066.252627505215,9162.145091655,16740.947925011253,18170.181993147522,5583.5242204589085,6065.029724779939,12.309468733474294,12.95386251106618,27922.55433931241,28999.824842848757
2025-01-08,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9604.827380037312,9653.355047889374,8830.558469962803,8875.176414045663,12096.727575681049,12157.209567855158,4877.986988536501,4902.456316873884,16.33820017047251,16.416522637623192,28471.121429245548,28615.04875846164,7980.520039014616,8324.840272829751,9110.57917547226,9206.94047521338,16246.600907610646,17633.630818496364,5700.973465902698,6192.607422421055,12.171112491108673,12.808263397086698,27914.414435986306,28991.370896700915
2025-01-09,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9379.921958805562,9427.34219417823,8653.551821422594,8697.298186196302,11933.836204116089,11993.516120490976,4766.554208830309,4790.474843059566,16.02736331358293,16.10415522255842,27917.560500990894,28058.762100662916,7745.244350313953,8079.413593999574,8885.153014829782,8979.130014142052,16121.97635647412,17498.366627656735,5532.932688730505,6010.075339047965,11.806049918202064,12.424090003436625,27127.701408144356,28174.305963036055
2025-01-10,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9172.888447571077,9219.289251604972,8474.484985773,8517.349626892852,11558.18951773293,11616.019752855143,4662.888211796447,4686.298395492786,15.743822859816607,15.819218617885625,27227.047849906266,27364.849370856067,7509.293005556915,7833.282107873481,8614.47546001046,8705.589541335765,15703.271153368063,17043.91507712366,5364.377269519848,5826.984232531486,11.446390076823967,12.045602171277457,26343.59945705458,27359.95284318107
