Horizon,Entity,N_obs,HS_VaR,SQRT_VaR,Ratio_HS_over_SQRT
1,AAPL,2666,12316.343596868528,12316.343596868528,1.0
1,MSFT,2666,11052.897851562619,11052.897851562619,1.0
1,ASML.AS,2666,11502.420576303955,11502.420576303955,1.0
1,^GSPC,2666,6635.934157781426,6635.934157781426,1.0
1,^IRX,2666,26.250004768371603,26.250004768371603,1.0
1,Portfolio,2667,35367.623858451494,35367.623858451494,1.0
5,AAPL,533,25222.454606924584,27540.181516842295,0.9158419886048936
5,MSFT,533,22058.409527512627,24715.030944455397,0.892509889107027
5,ASML.AS,533,26525.44045082712,25720.194314407952,1.0313079336250615
5,^GSPC,533,14267.87378719235,14838.399871012083,0.9615507002925363
5,^IRX,533,56.08999013900747,58.69679507177253,0.9555886325722291
5,Portfolio,533,62993.9162242587,79084.41115014095,0.7965402448867627
10,AAPL,266,30507.671748501798,38947.69821133521,0.7832984527856628
10,MSFT,266,29352.448212734664,34952.331956119546,0.8397851179024283
10,ASML.AS,266,33196.790137616204,36373.8476263071,0.9126554462609803
10,^GSPC,266,19158.101447694753,20984.666341500473,0.9129571629074035
10,^IRX,266,95.8624437451368,83.00980365833496,1.1548327970959045
10,Portfolio,266,83488.0429387439,111842.24682081935,0.7464803802850881
