Period,Start,End,N_obs,Method,VaR_99,ES_975
Full,2016-01-01,2026-03-31,2666,Normal,27658.11758231043,27797.77038531476
Full,2016-01-01,2026-03-31,2666,Student-t,30579.57185914843,31709.216052534157
Full,2016-01-01,2026-03-31,2666,Historical,35370.510344218135,36370.27864782628
Full,2016-01-01,2026-03-31,2666,GARCH-CCC,25928.91461271004,26060.052834244925
Full,2016-01-01,2026-03-31,2666,FHS-EWMA,31793.036235470612,32993.61352185769
Pre-COVID,2016-01-01,2020-02-19,1077,Normal,21557.48802854016,21668.197953745257
Pre-COVID,2016-01-01,2020-02-19,1077,Student-t,23873.47437124769,24769.001145273352
Pre-COVID,2016-01-01,2020-02-19,1077,Historical,28393.810088071394,29557.308300435754
Pre-COVID,2016-01-01,2020-02-19,1077,GARCH-CCC,18949.46820910492,19047.336265763126
Pre-COVID,2016-01-01,2020-02-19,1077,FHS-EWMA,32729.06164396581,34087.54305533564
COVID crisis,2020-02-20,2020-06-30,94,Normal,66851.24811397312,67183.87903906661
COVID crisis,2020-02-20,2020-06-30,94,Student-t,73809.69089362003,76500.32498752164
COVID crisis,2020-02-20,2020-06-30,94,Historical,89653.44528539709,83459.95968042247
COVID crisis,2020-02-20,2020-06-30,94,FHS-EWMA,54420.882949340084,52841.648587107775
Post-COVID,2020-07-01,2024-12-31,1175,Normal,27912.217257414533,28052.658494030573
Post-COVID,2020-07-01,2024-12-31,1175,Student-t,30850.16510042081,31986.18689190826
Post-COVID,2020-07-01,2024-12-31,1175,Historical,33724.94321075797,33429.47510174509
Post-COVID,2020-07-01,2024-12-31,1175,GARCH-CCC,23618.007466118524,23737.304048372025
Post-COVID,2020-07-01,2024-12-31,1175,FHS-EWMA,20639.136417803642,22350.822017182138
Pre-2025,2016-01-01,2024-12-31,2346,Normal,27882.8175695653,28023.848095284862
Pre-2025,2016-01-01,2024-12-31,2346,Student-t,30833.092993076483,31973.881513191613
Pre-2025,2016-01-01,2024-12-31,2346,Historical,35641.81186699078,36732.62818710634
Pre-2025,2016-01-01,2024-12-31,2346,GARCH-CCC,22887.917509421946,23004.353187549
Pre-2025,2016-01-01,2024-12-31,2346,FHS-EWMA,23937.180879975047,24860.66945588209
Shock 2025/4,2025-04-01,2025-12-31,195,Normal,25863.564993758504,25997.42206417369
Shock 2025/4,2025-04-01,2025-12-31,195,Student-t,28663.775962938482,29746.538779617877
Shock 2025/4,2025-04-01,2025-12-31,195,Historical,35728.44567886878,36362.04083314836
Shock 2025/4,2025-04-01,2025-12-31,195,FHS-EWMA,20978.589133679667,22344.803882761495
