Date,Loss,VaR_Normal,ES_Normal,VaR_t,ES_t,VaR_HS,ES_HS,VaR_EWMA,ES_EWMA,VaR_FHS,ES_FHS
2019-12-24,773.9542158667533,22914.609007599192,23031.172477073287,29646.59054505871,33770.68446940209,31648.605393074857,31584.096651372183,13741.892914805025,13809.557884634762,19214.821762374395,20431.871002989657
2019-12-26,-10642.084835686046,22908.492904957624,23025.04346051695,29673.772685049265,33826.46235428011,31648.605393074857,31584.096651372183,13330.556956861103,13396.196511752976,18693.08749614442,19904.696339688988
2019-12-27,780.1720869620607,22875.34528087919,22991.84776632462,29623.22185776239,33769.44906519298,31648.605393074857,31584.096651372183,14276.436372985698,14346.733430490307,20589.31551179216,21901.133300250927
2019-12-30,4053.536981105849,22743.078779051426,22859.07047255846,29399.913518135236,33466.23058309647,31648.605393074857,31370.080952862827,13848.65626536898,13916.846937075423,19884.96684284046,21182.350470254605
2019-12-31,-2531.203034715648,22745.485552167418,22861.483109050347,29390.078798182505,33446.04483170801,31648.605393074857,31370.080952862827,13624.007721700222,13691.09222579032,19630.02573762544,20910.388477829812
2020-01-02,-16224.445859616186,22746.248456152338,22862.239401662377,29410.000768118498,33479.65551953637,31648.605393074857,31370.080952862827,13287.483134071792,13352.91059380781,19192.27384144075,20458.482264466318
2020-01-03,8035.348506905249,22756.72311531072,22872.792585196694,29452.01554444037,33533.46805277303,31648.605393074857,31370.080952862827,15856.828566456752,15934.907462369893,23640.824370432118,25178.348696549983
2020-01-06,-8592.297694192035,22678.445622892832,22794.208588377,29265.624282172423,33261.27170034238,31648.605393074857,31352.99673630227,16041.147156530727,16120.133635694132,23722.573354233275,25238.065416084704
2020-01-07,4419.551974735155,22657.75993253552,22773.36984296554,29189.995122034386,33165.19561856629,31648.605393074857,31352.99673630227,16304.972309288356,16385.257861375147,23945.953893703405,25460.108286073933
2020-01-08,-10338.590294990956,22553.09874269227,22668.30164410014,28981.00666163218,32871.71963330078,31648.605393074857,31240.68872626841,16007.605841307532,16086.427163305421,23295.57415407017,24663.605224589515
2020-01-09,-11771.925270209722,22552.03942261413,22667.292061313896,28923.30590141964,32769.424220265064,31648.605393074857,31240.68872626841,16600.491825959063,16682.232513761406,24066.909138639316,25588.895639695187
2020-01-10,-121.43748153540533,22552.594051809814,22667.912469516443,28870.863346774444,32672.704444880605,31648.605393074857,31240.68872626841,17436.74259831844,17522.600978176208,25185.039275770763,26903.743661997065
2020-01-13,-11203.750323350694,22552.995869555663,22668.314516996477,28870.32758662834,32671.16348469971,31648.605393074857,31240.68872626841,16905.690801210978,16988.934286304822,23950.44541827322,25628.253257177974
2020-01-14,6789.405380362057,22480.647200868654,22595.512739448804,28620.485460785712,32307.96628017268,31648.605393074857,31240.68872626841,17590.156443050557,17676.770231441893,24955.527226239774,26674.235420877863
2020-01-15,-2119.4767835788234,22456.002616695012,22570.780744795833,28580.942750224298,32261.915520002145,31648.605393074857,31240.68872626841,17487.618387448503,17573.727279281433,24526.62361563626,26204.306203206157
2020-01-16,-10832.75117372496,22456.97879551288,22571.742348987493,28615.649632936646,32320.395251407474,31648.605393074857,31240.68872626841,16997.836976652627,17081.534188770824,23430.63099717003,25077.81680012637
2020-01-17,-8926.250830570563,22330.819555679114,22445.15428462727,28353.089299729185,31947.031304561595,31648.605393074857,31019.37820740947,17598.168516588466,17684.821756365254,24441.882377456157,26080.41647061103
2020-01-21,2756.669100352308,22320.408522596455,22434.66042962561,28324.125993904196,31917.125089354933,31648.605393074857,31019.37820740947,17804.10973697201,17891.777029656234,24641.046011216768,26272.286960981204
2020-01-22,39.63796953248312,22249.53867064534,22363.27546478488,28115.299961972363,31626.713205388092,31648.605393074857,31019.37820740947,17333.052707732983,17418.400519406176,23674.97291325012,25381.83791732376
2020-01-23,-3073.3392361094207,22247.198381156173,22360.93185903618,28122.817423724184,31642.67095784952,31648.605393074857,31019.37820740947,16805.03327514801,16887.78112339572,22619.830604680963,24233.57987637929
2020-01-24,7574.261731537457,22203.777402327505,22317.382252462336,28102.245513367016,31650.47363296861,31648.605393074857,31019.37820740947,16386.93533889693,16467.624476280154,21906.54698947863,23476.362942629756
2020-01-27,19606.65208643879,22207.27452472442,22320.890525612227,28101.377203828866,31645.483620958472,31648.605393074857,31019.37820740947,16463.54737705738,16544.61375149833,22074.241891559082,23660.757240405037
2020-01-28,-16425.04537767653,22269.898603840065,22383.744551508098,28205.977764621464,31775.62293563373,31648.605393074857,31019.37820740947,19483.63872240853,19579.576002264996,27407.841228803685,29458.805714485112
